repo,pr_number,ns,nd,nf,entropy,la,ld,lt,fix,ndev,age,nuc,exp,rexp,sexp
liam-hq/liam,3746,1,1,2,0.422,382,3,378,1,1,1.25,1,11,2,0
liam-hq/liam,3745,3,7,10,2.3887,222,67,845,0,15,19.52,173,695,216,0
liam-hq/liam,3742,1,3,4,1.7741,55,2,186,0,6,25.16,21,694,215,0
liam-hq/liam,3741,1,1,2,0.9953,37,0,0,0,0,0.0,0,90,30,0
liam-hq/liam,3743,2,3,5,2.1011,18,9,1196,0,19,2.0,382,90,30,0
liam-hq/liam,3736,1,3,7,2.243,114,41,200,0,18,37.76,129,90,30,0
liam-hq/liam,3732,1,6,11,2.6433,455,13,460,0,3,25.58,48,90,30,0
liam-hq/liam,3496,1,7,15,2.8603,314,38,1049,0,7,10.8,195,90,30,0
liam-hq/liam,3716,2,2,5,2.0513,138,9,617,1,3,47.09,14,690,211,0
liam-hq/liam,3739,2,7,17,2.4959,155,67,23339,0,23,28.68,1291,90,30,0
liam-hq/liam,3730,1,15,24,2.7129,9,127,2714,0,9,9.7,331,684,205,0
liam-hq/liam,3729,1,2,3,1.3567,11,10,81,0,6,50.93,32,11,2,0
liam-hq/liam,3715,2,5,11,2.5776,504,37,23520,0,22,9.24,1308,11,2,0
liam-hq/liam,3727,1,3,4,1.7364,63,19,217,1,4,21.16,37,683,204,0
liam-hq/liam,3717,1,1,1,0.0,0,71,71,0,6,6.01,20,683,204,0
liam-hq/liam,3721,1,1,1,0.0,9,6,65,1,5,1.41,21,463,121,0
liam-hq/liam,3723,1,17,31,4.0011,487,1521,3054,0,11,18.77,217,89,29,0
liam-hq/liam,3722,1,20,20,3.3833,3,535,1950,0,10,98.16,68,88,28,0
liam-hq/liam,3672,1,3,5,2.2049,213,34,516,0,11,0.76,96,678,210,0
liam-hq/liam,3718,1,1,1,0.0,8,2,26,0,1,36.69,1,678,210,0
liam-hq/liam,3719,1,2,3,0.9889,108,26,342,0,6,3.61,58,678,210,0
liam-hq/liam,3673,1,1,3,1.585,3,3,346,0,8,9.15,98,88,28,0
liam-hq/liam,3653,2,4,8,2.7332,29,16,1800,0,22,5.76,619,88,28,0
liam-hq/liam,3710,1,3,4,1.3281,52,2,777,0,11,11.77,142,678,210,0
liam-hq/liam,3701,1,1,1,0.0,500,773,23322,0,22,1.91,1227,88,28,0
liam-hq/liam,3713,3,5,6,2.2359,7,7,836,0,11,20.31,72,88,28,0
